run_id,git_commit,dirty,scene,scene_sha256,builder,layout,mode,ray_set,ray_seed,rayset_hash,query_kind,ratio_bin,candidate_count,relevant_hit_count,false_positive_count,invalid_count,probe_node_steps,probe_prim_steps,probe_box_tests,probe_tri_tests,false_positive_node_steps,false_positive_prim_steps,false_positive_box_tests,false_positive_tri_tests,source_analytic,source_steps
d1_dev_2026_08_31,27b7732,1,teapot.obj,2135dfb46c005448ad3fcd2ca75a31204df91248bbbcb18965838af40df1c234,binned_sah,bvh2/slot32_aos,robust,primary,A,10987038489570991087,closest_improves_incumbent,q_00_10,713,0,713,0,0,713,0,713,0,713,0,713,S-analytic,S-probe-counterfactual
d1_dev_2026_08_31,27b7732,1,teapot.obj,2135dfb46c005448ad3fcd2ca75a31204df91248bbbcb18965838af40df1c234,binned_sah,bvh2/slot32_aos,robust,primary,A,10987038489570991087,closest_improves_incumbent,q_10_20,5461,530,4931,0,0,5461,0,5461,0,4931,0,4931,S-analytic,S-probe-counterfactual
d1_dev_2026_08_31,27b7732,1,teapot.obj,2135dfb46c005448ad3fcd2ca75a31204df91248bbbcb18965838af40df1c234,binned_sah,bvh2/slot32_aos,robust,primary,A,10987038489570991087,closest_improves_incumbent,q_20_30,18315,2456,15859,0,924,19065,1848,19065,745,16474,1490,16474,S-analytic,S-probe-counterfactual
d1_dev_2026_08_31,27b7732,1,teapot.obj,2135dfb46c005448ad3fcd2ca75a31204df91248bbbcb18965838af40df1c234,binned_sah,bvh2/slot32_aos,robust,primary,A,10987038489570991087,closest_improves_incumbent,q_30_40,62952,13862,49090,0,5344,66304,10688,66304,4106,51593,8212,51593,S-analytic,S-probe-counterfactual
d1_dev_2026_08_31,27b7732,1,teapot.obj,2135dfb46c005448ad3fcd2ca75a31204df91248bbbcb18965838af40df1c234,binned_sah,bvh2/slot32_aos,robust,primary,A,10987038489570991087,closest_improves_incumbent,q_40_50,50604,20417,30187,0,58750,63192,117500,63192,18224,33822,36448,33822,S-analytic,S-probe-counterfactual
d1_dev_2026_08_31,27b7732,1,teapot.obj,2135dfb46c005448ad3fcd2ca75a31204df91248bbbcb18965838af40df1c234,binned_sah,bvh2/slot32_aos,robust,primary,A,10987038489570991087,closest_improves_incumbent,q_50_60,53233,17083,36150,0,149532,81189,299064,81189,88486,46969,176972,46969,S-analytic,S-probe-counterfactual
d1_dev_2026_08_31,27b7732,1,teapot.obj,2135dfb46c005448ad3fcd2ca75a31204df91248bbbcb18965838af40df1c234,binned_sah,bvh2/slot32_aos,robust,primary,A,10987038489570991087,closest_improves_incumbent,q_60_70,152164,56826,95338,0,633862,247628,1267724,247628,325825,106970,651650,106970,S-analytic,S-probe-counterfactual
d1_dev_2026_08_31,27b7732,1,teapot.obj,2135dfb46c005448ad3fcd2ca75a31204df91248bbbcb18965838af40df1c234,binned_sah,bvh2/slot32_aos,robust,primary,A,10987038489570991087,closest_improves_incumbent,q_70_80,113236,45366,67870,0,414751,193457,829502,193457,225675,87461,451350,87461,S-analytic,S-probe-counterfactual
d1_dev_2026_08_31,27b7732,1,teapot.obj,2135dfb46c005448ad3fcd2ca75a31204df91248bbbcb18965838af40df1c234,binned_sah,bvh2/slot32_aos,robust,primary,A,10987038489570991087,closest_improves_incumbent,q_80_90,53228,25811,27417,0,194818,93543,389636,93543,91166,32834,182332,32834,S-analytic,S-probe-counterfactual
d1_dev_2026_08_31,27b7732,1,teapot.obj,2135dfb46c005448ad3fcd2ca75a31204df91248bbbcb18965838af40df1c234,binned_sah,bvh2/slot32_aos,robust,primary,A,10987038489570991087,closest_improves_incumbent,q_90_100,136906,58222,78684,0,930110,236572,1860220,236572,389598,68416,779196,68416,S-analytic,S-probe-counterfactual
